tau,h,q_tau,f_hat,beta_rif,se_beta_rif,g,n_obs,branch
0.9,13,0.7556727345084553,0.19481122815918436,0.013341960370673431,0.0032215881371241957,0.002599163685862058,40569.0,
0.9,14,0.7556727345084553,0.19481122815918436,0.0186501042643665,0.0032362875863521266,0.00363324971703808,40568.0,
0.9,15,0.7556727345084553,0.19481122815918436,0.01536323922795843,0.0032429396332975093,0.0029929315025019414,40567.0,
0.9,16,0.7556727345084553,0.19481122815918436,0.0211665897376039,0.003321338497917822,0.004123489342724204,40566.0,
0.9,17,0.7556727345084553,0.19481122815918436,0.02213030522838708,0.003315730000988818,0.004311231941079706,40565.0,
0.9,18,0.7556727345084553,0.19481122815918436,0.02165558937684119,0.0033599493427543927,0.004218751963013418,40564.0,
0.9,19,0.7556727345084553,0.19481122815918436,0.021345372287058257,0.0033280115129966314,0.004158318190756837,40563.0,
0.9,20,0.7556727345084553,0.19481122815918436,0.018347649476867345,0.003341642864515456,0.003574328128422744,40562.0,
0.9,21,0.7556727345084553,0.19481122815918436,0.020427458721030828,0.0033519371435021266,0.003979498321615057,40561.0,
0.9,22,0.7556727345084553,0.19481122815918436,0.020184198756565075,0.00331665455619291,0.003932108549175524,40560.0,
0.9,23,0.7556727345084553,0.19481122815918436,0.02031278064732346,0.003314654333967569,0.003957157745233196,40559.0,
0.9,24,0.7556727345084553,0.19481122815918436,0.01560438301270553,0.0032567582279270407,0.003039909019371478,40558.0,
0.95,0,1.155801595049896,0.08472420840735798,0.04238354888264258,0.005505447026594215,0.003590912628576454,40582.0,
0.95,1,1.155801595049896,0.08472420840735798,0.038584175228418206,0.006059646835593785,0.003269013703278523,40581.0,
0.95,2,1.155801595049896,0.08472420840735798,0.04139744893184247,0.006079548288352033,0.00350736609083438,40580.0,
0.95,3,1.155801595049896,0.08472420840735798,0.02941635598706396,0.005913877003597549,0.0024922774752330393,40579.0,
0.95,4,1.155801595049896,0.08472420840735798,0.02626326860132619,0.005766372269302728,0.0022251346424371813,40578.0,
0.95,5,1.155801595049896,0.08472420840735798,0.026100115717086772,0.005843419859260755,0.0022113116434706193,40577.0,
0.95,6,1.155801595049896,0.08472420840735798,0.026677000474246974,0.005761536041649702,0.002260187747863288,40576.0,
0.95,7,1.155801595049896,0.08472420840735798,0.0366110832998998,0.005801401473892405,0.003101845051519854,40575.0,
