alpha,h,side,method,beta,se,ci_lo,ci_hi,pval,n_obs
0.01,14,down,logit,0.056397184958158916,0.015088260866713126,0.02682419365940119,0.08597017625691664,0.0001856236528740246,40568
0.01,14,down,lpm,0.0008256248958830455,0.00024988149481870324,0.00033801422473046127,0.001338957842751106,0.0009529347018324978,40568
0.01,14,up,logit,0.04876212670385976,0.014846296042278273,0.019663386460994345,0.07786086694672517,0.0010217650631877836,40568
0.01,14,up,lpm,0.0008005832485931702,0.00025748166058803555,0.00016698973191246283,0.0014795242829879196,0.0018754224039609511,40568
0.01,15,down,logit,0.04712844529659302,0.015270743714140382,0.01719778761687787,0.07705910297630816,0.002027379435869961,40567
0.01,15,down,lpm,0.0006996637238753659,0.0002527588504966261,0.0001656297981535483,0.0013124060036895212,0.005638281746531337,40567
0.01,15,up,logit,0.04994109872836977,0.014840196596988268,0.020854313398272765,0.07902788405846678,0.0007647195947887444,40567
0.01,15,up,lpm,0.0008443928043356309,0.00025047424953024823,0.0003076810345169227,0.0014220206107951226,0.000748479954943917,40567
0.01,16,down,logit,0.062223629259927485,0.01499697201302065,0.03282956411440702,0.09161769440544795,3.338148633047991e-05,40566
0.01,16,down,lpm,0.0009332696092584498,0.00025125872634405464,0.00033424797199533846,0.001483870400724409,0.00020370499945511063,40566
0.01,16,up,logit,0.04634782904114019,0.014813720064461364,0.017312937714795914,0.07538272036748446,0.0017557570310325508,40566
0.01,16,up,lpm,0.0008042489216559775,0.0002516329880837985,0.0002590967557065168,0.0013073440516875087,0.0013928975180886203,40566
0.01,17,down,logit,0.03435038455483784,0.01579008788415964,0.003401812301884948,0.06529895680779073,0.029597179822297554,40565
0.01,17,down,lpm,0.0005141996817082519,0.00024366641360712042,1.2585250395425522e-05,0.0010610914145132136,0.03483589780866463,40565
0.01,17,up,logit,0.0875040062900188,0.013769918157812405,0.06051496670070648,0.11449304587933111,2.0880345583262253e-10,40565
0.01,17,up,lpm,0.0014773972421264349,0.00027826512279092893,0.0008573593679809898,0.0021292965651804217,1.1003789964030799e-07,40565
0.01,18,down,logit,0.04518821738533575,0.01552370406553603,0.014761757416885131,0.07561467735378638,0.003603694864769616,40564
0.01,18,down,lpm,0.0006514338687204186,0.000246093172101328,0.00013672737274351117,0.0012816244488590039,0.00811847242562382,40564
0.01,18,up,logit,0.07506881967202736,0.014184876396663526,0.04726646193456685,0.10287117740948787,1.2087147672241654e-07,40564
0.01,18,up,lpm,0.001254199017038958,0.0002761251670220235,0.0006029184649387365,0.0019208822556723048,5.568618111605385e-06,40564
0.01,19,down,logit,0.06925856093149356,0.014860255496643224,0.04013246015807284,0.09838466170491428,3.1520088670036432e-06,40563
0.01,19,down,lpm,0.0009919095169243829,0.0002647132094288333,0.00042272924875573324,0.0015402919542758054,0.0001788836466344307,40563
0.01,19,up,logit,0.05898161055842773,0.01455219821674968,0.03045930205359836,0.08750391906325711,5.054195909740463e-05,40563
0.01,19,up,lpm,0.0009955858297222293,0.0002545235636922151,0.00047077070385008647,0.0015275702767998593,9.169942200130742e-05,40563
0.01,20,down,logit,0.08011000650293655,0.014637047149684284,0.05142139408955536,0.10879861891631774,4.422331656218109e-08,40562
0.01,20,down,lpm,0.0011614599655139488,0.0002533099473002831,0.0006554089318441721,0.0017508177411601296,4.536961092723209e-06,40562
0.01,20,up,logit,0.07740446354447972,0.014002801100269146,0.04995897338795219,0.10484995370100725,3.243004981061376e-08,40562
0.01,20,up,lpm,0.0013246033704728162,0.0002907510279902367,0.0006401060547036039,0.0020241179278591903,5.218671304878747e-06,40562
0.01,21,down,logit,0.07173269952979953,0.014853622373815985,0.0426195996771202,0.10084579938247887,1.3700917416382514e-06,40561
0.01,21,down,lpm,0.0010357159218777423,0.0002516869150229677,0.0004800095744208775,0.0016094333623618555,3.870176073355042e-05,40561
0.01,21,up,logit,0.0599797147463088,0.01452314733181846,0.03151434597594462,0.08844508351667299,3.628592621075624e-05,40561
0.01,21,up,lpm,0.001001302048559803,0.00027261578845318,0.0003190186672671203,0.001785834454231969,0.0002397736820905875,40561
0.01,22,down,logit,0.05209196922005862,0.01541215862816832,0.02188413830884871,0.08229980013126853,0.0007250511639126388,40560
0.01,22,down,lpm,0.0007616378702679636,0.0002459187894154836,0.0002820396341500146,0.001282075149703939,0.0019541646471716197,40560
